# z a Hhat beta F=-x^2*u; backgrounds from pbh17
7.999999999999997272e+03 1.562304711911011732e-03 2.939908015312358111e+04 1.085000033555181980e+09 0.000000000000000000e+00
7.989664771208993443e+03 1.564325416958862276e-03 2.932890331651861197e+04 1.079404575391319513e+09 3.785525212392448443e-04
7.979342892868460694e+03 1.566348735612661238e-03 2.925889914980025424e+04 1.073837968036046505e+09 3.795323725863430421e-04
7.969034347733044342e+03 1.568374671252883122e-03 2.918906721881891644e+04 1.068300062420272470e+09 3.805147620374561227e-04
7.958739118579696878e+03 1.570403227264368946e-03 2.911940709053124374e+04 1.062790710480895996e+09 3.814996962429432776e-04
7.948457188207590661e+03 1.572434407036343374e-03 2.904991833299693462e+04 1.057309764695536256e+09 3.824871818982824461e-04
7.938188539438134285e+03 1.574468213962410814e-03 2.898060051537616164e+04 1.051857078385176897e+09 3.834772256360037112e-04
7.927933155114929832e+03 1.576504651440564743e-03 2.891145320792669008e+04 1.046432505717583179e+09 3.844698341521419127e-04
7.917691018103720126e+03 1.578543722873197892e-03 2.884247598200089124e+04 1.041035901466019511e+09 3.854650142589734880e-04
7.907462111292406917e+03 1.580585431667098136e-03 2.877366841004322850e+04 1.035667121129603982e+09 3.864627727687721098e-04
7.897246417590970850e+03 1.582629781233465399e-03 2.870503006558715788e+04 1.030326021147294402e+09 3.874631164938141612e-04
7.887043919931486016e+03 1.584676774987907539e-03 2.863656052325257042e+04 1.025012458460358262e+09 3.884660522463740740e-04
7.876854601268079023e+03 1.586726416350449668e-03 2.856825935874296192e+04 1.019726290834963918e+09 3.894715868387261712e-04
7.866678444576868060e+03 1.588778708745545651e-03 2.850012614884242066e+04 1.014467376773186922e+09 3.904797270831469988e-04
7.856515432855996551e+03 1.590833655602071810e-03 2.843216047141325907e+04 1.009235575543221235e+09 3.914904797919100668e-04
7.846365549125536745e+03 1.592891260353345578e-03 2.836436190539283416e+04 1.004030747019994974e+09 3.925038517772919751e-04
7.836228776427516095e+03 1.594951526437121377e-03 2.829673003079111004e+04 9.988527518797068596e+08 3.935198504549933187e-04
7.826105097825870871e+03 1.597014457295599073e-03 2.822926442868780578e+04 9.937014514536635876e+08 3.945384822909561370e-04
7.815994496406390681e+03 1.599080056375435472e-03 2.816196468122947772e+04 9.885767078045375347e+08 3.955597541288000682e-04
7.805896955276733934e+03 1.601148327127741283e-03 2.809483037162707114e+04 9.834783836816062927e+08 3.965836731279132662e-04
7.795812457566382363e+03 1.603219273008090655e-03 2.802786108415306080e+04 9.784063426316318512e+08 3.976102464476838306e-04
7.785740986426587369e+03 1.605292897476531377e-03 2.796105640413857691e+04 9.733604486065726280e+08 3.986394812475020297e-04
7.775682525030392753e+03 1.607369203997580966e-03 2.789441591797103320e+04 9.683405666547932625e+08 3.996713846867553125e-04
7.765637056572550136e+03 1.609448196040243802e-03 2.782793921309100551e+04 9.633465621999368668e+08 4.007059639248338931e-04
7.755604564269541697e+03 1.611529877078006576e-03 2.776162587798991808e+04 9.583783014808388948e+08 4.017432261211259254e-04
7.745585031359528330e+03 1.613614250588848911e-03 2.769547550220716948e+04 9.534356513166360855e+08 4.027831784350195633e-04
7.735578441102302349e+03 1.615701320055252903e-03 2.762948767632728413e+04 9.485184793771607876e+08 4.038258280259050749e-04
7.725584776779306594e+03 1.617791088964199439e-03 2.756366199197760943e+04 9.436266537721483707e+08 4.048711820531698011e-04
7.715604021693554387e+03 1.619883560807185109e-03 2.749799804182524167e+04 9.387600434402272701e+08 4.059192476762041183e-04
7.705636159169646817e+03 1.621978739080218298e-03 2.743249541957469046e+04 9.339185180553878546e+08 4.069700320543960721e-04
7.695681172553724537e+03 1.624076627283829169e-03 2.736715371996506292e+04 9.291019476812992096e+08 4.080235423471338164e-04
7.685739045213422287e+03 1.626177228923079412e-03 2.730197253876731338e+04 9.243102031666643620e+08 4.090797857138076736e-04
7.675809760537886177e+03 1.628280547507558783e-03 2.723695147278186414e+04 9.195431561507194042e+08 4.101387693138049302e-04
7.665893301937689102e+03 1.630386586551402445e-03 2.717209011983563687e+04 9.148006787109650373e+08 4.112005008743745485e-04
7.655989652844858028e+03 1.632495349573285983e-03 2.710738807877974614e+04 9.100826436785012484e+08 4.122649895129702280e-04
7.646098796712817602e+03 1.634606840096436463e-03 2.704284494948668362e+04 9.053889244612491131e+08 4.133322408198171374e-04
7.636220717016350136e+03 1.636721061648641539e-03 2.697846033284764781e+04 9.007193952227387428e+08 4.144022625389642768e-04
7.626355397251606519e+03 1.638838017762247069e-03 2.691423383077016479e+04 8.960739305117723942e+08 4.154750624144577190e-04
7.616502820936034368e+03 1.640957711974172506e-03 2.685016504617517421e+04 8.914524058158525229e+08 4.165506481903464642e-04
7.606662971608388943e+03 1.643080147825908303e-03 2.678625358299472646e+04 8.868546970568643808e+08 4.176290276106772357e-04
7.596835832828690400e+03 1.645205328863525015e-03 2.672249904616923595e+04 8.822806807249059677e+08 4.187102084194968109e-04
7.587021388178173765e+03 1.647333258637684794e-03 2.665890104164481090e+04 8.777302340865160227e+08 4.197941983608542444e-04
7.577219621259314408e+03 1.649463940703635315e-03 2.659545917637095772e+04 8.732032349041609764e+08 4.208810051787955546e-04
