# M_Msun r_I0_m v_E_km_s
1.000000000000000000e+04 7.670603196194508800e+18 4.159821513315506425e-01
1.000000000000000000e+05 1.652581361935089254e+19 8.962063772627854030e-01
1.000000000000000000e+06 3.560378614253092045e+19 1.930818108602746497e+00
